date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:38	78557566/78557566	---M--	200	added ('OK')	video/mp4	etag:W/%224aeb17e-17efe7274b3%22	https://www.hackerx.xyz/main/videos/agelada1.mp4	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/videos/agelada1.mp4	(from https://www.hackerx.xyz/main/)
20:56:38	3455/3455	---MCZ	200	added ('OK')	text/css	etag:W/%22d7f-17efe7274b3%22	https://www.hackerx.xyz/main/developers/style.css	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/developers/style.css	(from https://www.hackerx.xyz/main/developers/)
20:56:38	4263/4263	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Feb%202022%2023:12:11%20GMT	https://www.hackerx.xyz/main/developers/portal/	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/developers/portal/index.html	(from https://www.hackerx.xyz/main/developers/)
20:56:38	13099/13099	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2006%20Apr%202022%2017:56:39%20GMT	https://codepen.io/denic/pen/YzyPzKG.js	C:/My%20Web%20Sites/sitex/codepen.io/denic/pen/YzyPzKG.2a.delayed	(from https://www.hackerx.xyz/main/developers/)
20:56:39	92/92	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c-17efe7274b3%22	https://www.hackerx.xyz/main/developers/script.js	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/developers/script.js	(from https://www.hackerx.xyz/main/developers/)
20:56:39	28109/28109	---MCZ	200	added ('OK')	text/css	etag:W/%226dcd-17efe7274b3%22	https://www.hackerx.xyz/main/xbot/assets/css/main.css	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/xbot/assets/css/main.css	(from https://www.hackerx.xyz/main/xbot/)
20:56:39	3862/3862	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Feb%202022%2017:33:40%20GMT	https://www.hackerx.xyz/main/xbot/index.html	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/xbot/index-2.html	(from https://www.hackerx.xyz/main/xbot/)
20:56:40	1716/1716	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Feb%202022%2022:22:35%20GMT	https://www.hackerx.xyz/dashboard/	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/dashboard/index.html	(from https://www.hackerx.xyz/main/xbot/)
20:56:40	201447/201447	---M--	200	added ('OK')	image/png	etag:W/%22312e7-17efe7274b3%22	https://www.hackerx.xyz/main/xbot/assets/img/about-visual.png	C:/My%20Web%20Sites/sitex/www.hackerx.xyz/main/xbot/assets/img/about-visual.png	(from https://www.hackerx.xyz/main/xbot/)
20:56:41	84320/84320	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/My%20Web%20Sites/sitex/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://www.hackerx.xyz/main/xbot/)
